[20260820_16:43:37_065]#1976076 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0055 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:37_418]#1976390 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011201000015,3,1,13,1,1971813,1976390,4577
[20260820_16:43:37_420]#1976392 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011201000017,3,1,15,1,1971927,1976392,4465
[20260820_16:43:37_765]#1976473 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011201000019,3,1,17,1,1972037,1976473,4436
[20260820_16:43:38_096]#1976485 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:38_096]#1976486 | info | nwk.c (349)| aps tx retry_cnt 0 dst 004b link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:38_106]#1976509 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011201000016,3,1,14,1,1971895,1976509,4614
[20260820_16:43:38_446]#1976542 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:38_446]#1976543 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0058 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:38_795]#1976574 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000001,3,1,19,1,1972222,1976574,4352
[20260820_16:43:38_804]#1976584 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:38_805]#1976585 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0051 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:39_132]#1976625 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:39_132]#1976626 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0067 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:39_467]#1976877 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011201000018,3,1,16,1,1971989,1976877,4888
[20260820_16:43:39_473]#1976897 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011201000020,3,1,18,1,1972063,1976897,4834
[20260820_16:43:39_817]#1976940 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:39_817]#1976941 | info | nwk.c (349)| aps tx retry_cnt 0 dst 006b link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:40_153]#1976970 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:40_153]#1976971 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0060 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:40_508]#1980217 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000002,3,1,20,1,1975943,1980217,4274
[20260820_16:43:40_849]#1980275 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:40_849]#1980276 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=0
